Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
20MICRONS.NS,,Other Industrial Metals & Mining,Basic Materials,384,,,,,,86400,2,246.77,248.74,242.0,254.0,246.77,248.74,242.0,254.0,1.25,0.0050999997,1720742400,0.0743,,0.841,14.550802,,63455,63455,90400,109601,109601,8675619840,132.0,348.0,1.0111395,257.5978,229.92274,1.25,0.0050654453,9802190848,0.06922,15489132,35286500,0.56441003,0.00037,35426600,108.718,2.2525249,0.024,16.83,,0.485983,1.25,1720742400,NSI,EQUITY,20MICRONS.NS,20 MICRONS LTD,20 Microns Limited,244.89,,,,,,none,,165704992,4.696,1080114944,1313862016,0.783,1.752,8580042752,34.138,243.13,0.09557,0.16825001,-466720992,115088000,0.024,0.203,0.46492,0.12589,0.10908
21STCENMGM.NS,,Capital Markets,Financial Services,10,,,,,,86400,2,91.06,91.0,89.23,92.4,91.06,91.0,89.23,92.4,2.5,0.0275,1721952000,0.044099998,,0.544,1.6075525,,11064,11064,9815,12614,12614,956549952,29.85,141.4,0.6077427,105.9956,80.98925,,,869602496,0.37807998,2773226,10500000,0.64094,,10523700,90.796,1.0033482,0.049,56.67,,1.9339774,2.5,1721952000,NSI,EQUITY,21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Twentyfirst Century Management Services Limited,91.1,,,,,,none,,86393000,8.233,646390016,,9.597,14.294,1573938944,,150.248,0.53249,0.96726996,-10334500,209936992,0.05,4.028,0.42755002,0.41068,0.29568002
360ONE.NS,,Asset Management,Financial Services,1230,,,,,,86400,2,1242.4,1245.0,1232.05,1260.0,1242.4,1245.0,1232.05,1260.0,10.0,0.008,1722988800,0.587,3.51,0.475,50.641182,39.7625,603540,603540,707657,675748,675748,485617631232,591.5,1260.0,13.69708,1088.741,945.37573,22.5,0.01811011,556025839616,0.26052,218363307,387920000,0.19740999,0.62716997,388083008,107.158,11.682282,0.32,24.72,31.77,0.95189834,2.5,1722988800,NSI,EQUITY,360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,1251.85,1350.0,890.0,1170.5454,1130.0,2.09091,buy,11,10628700160,29.074,21649500160,109005897728,2.461,11.198,35454099456,278.92,98.411,0.09399,0.25745,-7159849984,-21277599744,0.274,0.43,0.70015997,0.61063,0.61823004
3IINFOLTD.NS,,Information Technology Services,Technology,5600,,,,,,86400,2,32.25,32.18,31.5,32.34,32.25,32.18,31.5,32.34,,,1309996800,,3.81,0.843,,,480429,480429,723343,1207516,1207516,5375923200,25.23,63.9,0.7012958,28.5206,34.86105,,,5737304064,-0.18441999,151287896,169534000,0.16332,0.0066299997,173944000,16.263,1.9498247,,-809.32,,-0.2817667,15.0,1309996800,NSI,EQUITY,3IINFOLTD.NS,3I INFOTECH LIMITED,3i Infotech Limited,31.71,,,,,,none,,502800000,2.916,-704600000,773299968,0.754,1.154,7665699840,27.58,45.401,-0.0655,-0.40056,-1968362496,2548400128,,-0.155,0.09036,-0.09192,-0.02342
3MINDIA.NS,,Conglomerates,Industrials,1033,,,,,,86400,2,31494.35,31494.35,30970.05,31624.2,31494.35,31494.35,30970.05,31624.2,160.0,0.0046,1720137600,0.4791,,0.218,58.487457,48.129173,6071,6071,5530,5553,5553,350681989120,28498.95,40856.5,8.37694,33202.082,33793.617,,,362474930176,0.14604001,2649544,11265100,0.7648,0.09503999,11314400,1905.806,16.334269,0.216,532.25,,0.013428807,160.0,1720137600,NSI,EQUITY,3MINDIA.NS,3M INDIA LIMITED,3M India Limited,31129.95,40410.0,40410.0,40410.0,40410.0,,none,1,13553505280,1203.144,7871388672,181778000,,,41862778880,0.847,3716.158,,,,,0.216,-0.003,0.40553,0.18802999,0.18334
3PLAND.NS,,,,,,,,,,86400,2,71.06,73.0,72.48,78.16,71.06,73.0,72.48,78.16,,,,,,,,,449233,449233,94643,195143,195143,,25.05,78.16,,47.9466,38.4328,,,,,,,,,,,,,,,,,,NSI,EQUITY,3PLAND.NS,3P LAND HOLDINGS LIMITED,3P Land Holdings Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,
5PAISA.NS,,Capital Markets,Financial Services,548,,,,,,86400,2,494.25,496.0,483.9,496.7,494.25,496.0,483.9,496.7,,,,,,1.16,25.429018,31.548388,26729,26729,122259,34392,34392,15266971648,458.0,758.45,3.922571,505.611,514.658,,,963507392,0.16148001,11862784,31220800,0.57383,0.21020001,31230300,184.582,2.649229,0.15,19.23,15.5,-0.029087663,,,NSI,EQUITY,5PAISA.NS,5PAISA CAPITAL LIMITED,5paisa Capital Limited,489.0,,,,,,none,,15979458560,512.193,,1687072000,6.995,7.028,3892082944,29.297,125.028,0.03162,0.1168,,1484483968,0.137,0.048,0.99966,,0.30915
63MOONS.NS,,Software - Application,Technology,863,,,,,,86400,2,895.5,940.25,940.25,940.25,895.5,940.25,940.25,940.25,2.0,0.0034,1726790400,0.052800003,5.9,1.193,58.986828,,125728,125728,665496,793899,793899,43460800512,314.65,963.45,10.981366,609.114,437.9355,,,15698733056,0.44103,16066736,46078500,0.58090997,0.0352,46222600,726.448,1.2943115,,15.94,,1.1070027,2.0,1726790400,NSI,EQUITY,63MOONS.NS,63 MOONS TECHNOLOGIES LTD,63 moons technologies limited,940.25,,,,,,none,,12364177408,267.819,245590000,51611000,,,3957686016,0.179,85.863,,,,,,-0.663,0.51252,0.06205,-1.51999
A2ZINFRA.NS,,Engineering & Construction,Industrials,5723,,,,,,86400,2,22.17,22.83,22.02,23.27,22.17,22.83,22.02,23.27,,,1316649600,,,0.653,145.00002,,1626108,1626108,470440,1110645,1110645,4097027328,10.4,24.57,1.086655,18.047,17.41405,,,4840600576,-0.01273,108514489,176120000,0.36992002,,176596000,1.827,12.698413,,0.16,,1.2095239,2.0,1316649600,NSI,EQUITY,A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,A2Z Infra Engineering Limited,23.2,,,,,,none,,28604000,0.162,-543674752,1979510016,,,3770310912,948.741,22.058,,,,,,-0.122,0.12818,-0.1442,0.02957
AAATECH.NS,,Information Technology Services,Technology,97,,,,,,86400,2,112.82,113.01,112.05,114.5,112.82,113.01,112.05,114.5,0.5,0.0047,1725580800,0.1884,,0.181,40.88,,12175,12175,53016,17782,17782,1441988864,79.95,160.85,6.014326,117.9092,115.06285,,,1149805824,0.14196,3394356,12826800,0.72692,,12910900,21.795,5.158064,0.31,2.75,,0.38448274,0.5,1725580800,NSI,EQUITY,AAATECH.NS,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,112.42,,,,,,none,,205088992,15.989,44597500,,,,239759008,,18.7,,,,,0.313,0.053,0.6931,0.18601,0.20577998
