Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
20MICRONS.NS,,Other Industrial Metals & Mining,Basic Materials,384,,,,,,86400,2,254.51,254.0,245.5,254.0,254.51,254.0,245.5,254.0,1.25,0.0049,1720742400,0.0743,,0.841,14.671226,,47261,47261,92786,104754,104754,8751797248,132.0,348.0,1.0200179,258.233,229.4218,1.25,0.0049113985,9868533760,0.06922,15489132,35286500,0.56441003,0.00037,35465400,108.718,2.2698174,0.024,16.82,,0.37591302,1.25,1720742400,NSI,EQUITY,20MICRONS.NS,20 MICRONS LTD,20 Microns Limited,246.77,,,,,,none,,165704992,4.696,1080114944,1313862016,0.783,1.752,8580042752,34.138,243.13,0.09557,0.16825001,-466720992,115088000,0.024,0.203,0.46492,0.12589,0.10908
21STCENMGM.NS,,Capital Markets,Financial Services,10,,,,,,86400,2,92.87,91.01,91.01,93.01,92.87,91.01,91.01,93.01,2.5,0.0269,1721952000,0.044099998,,0.544,1.6068467,,16288,16288,9679,13537,13537,956129984,29.85,141.4,0.6074759,106.1876,80.796,,,869182720,0.37807998,2773226,10500000,0.64094,,10523700,90.796,1.0029076,0.049,56.67,,1.9904761,2.5,1721952000,NSI,EQUITY,21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Twentyfirst Century Management Services Limited,91.06,,,,,,none,,86393000,8.233,646390016,,9.597,14.294,1573938944,,150.248,0.53249,0.96726996,-10334500,209936992,0.05,4.028,0.42755002,0.41068,0.29568002
360ONE.NS,,Asset Management,Financial Services,1230,,,,,,86400,2,1186.6,1186.8,1184.6,1245.0,1186.6,1186.8,1184.6,1245.0,10.0,0.0084,1722988800,0.587,3.51,0.475,50.34036,39.462345,951238,951238,705164,718747,718747,482154348544,591.5,1245.0,13.599397,1083.235,942.67,22.5,0.01896174,552571109376,0.26052,218363307,387920000,0.19757,0.62699,388083008,107.158,11.594095,0.32,24.68,31.77,0.91846824,2.5,1722988800,NSI,EQUITY,360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,1242.4,1350.0,890.0,1170.5454,1130.0,2.09091,buy,11,10628700160,29.074,21649500160,109005897728,2.461,11.198,35454099456,278.92,98.411,0.09399,0.25745,-7159849984,-21277599744,0.274,0.43,0.70015997,0.61063,0.61823004
3IINFOLTD.NS,,Information Technology Services,Technology,5600,,,,,,86400,2,32.69,32.66,32.06,33.19,32.69,32.66,32.06,33.19,,,1309996800,,3.81,0.843,,,795558,795558,729007,1199319,1199319,5469148672,25.23,63.9,0.71345717,28.4888,34.917,,,5830400000,-0.18441999,151287896,169534000,0.16332,0.0066299997,173944000,16.263,1.9830289,,-809.32,,-0.30942184,15.0,1309996800,NSI,EQUITY,3IINFOLTD.NS,3I INFOTECH LIMITED,3i Infotech Limited,32.25,,,,,,none,,502800000,2.916,-704600000,773299968,0.754,1.154,7665699840,27.58,45.401,-0.0655,-0.40056,-1968362496,2548400128,,-0.155,0.09036,-0.09192,-0.02342
3MINDIA.NS,,Conglomerates,Industrials,1033,,,,,,86400,2,31602.2,31602.2,31265.75,31661.85,31602.2,31602.2,31265.75,31661.85,160.0,0.0046,1720137600,0.4791,,0.218,59.32033,48.692562,3936,3936,5457,6146,6146,355123986432,28498.95,40856.5,8.483048,33266.082,33790.37,,,362474930176,0.14604001,2649544,11265100,0.7648,0.09503999,11275800,1905.806,16.525475,0.216,530.92,,0.00079119205,525.0,1720137600,NSI,EQUITY,3MINDIA.NS,3M INDIA LIMITED,3M India Limited,31494.35,40410.0,40410.0,40410.0,40410.0,,none,1,13553505280,1203.144,7871388672,181778000,,,41862778880,0.847,3716.158,,,,,0.216,-0.003,0.40553,0.18802999,0.18334
3PLAND.NS,,,,,,,,,,86400,2,64.6,66.26,66.26,71.06,64.6,66.26,66.26,71.06,,,,,,,,,397807,397807,87414,167982,167982,,25.05,71.66,,47.1248,38.1935,,,,,,,,,,,,,,,,,,NSI,EQUITY,3PLAND.NS,3P LAND HOLDINGS LIMITED,3P Land Holdings Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,
5PAISA.NS,,Capital Markets,Financial Services,548,,,,,,86400,2,494.0,500.5,493.0,501.85,494.0,500.5,493.0,501.85,,,,,,1.16,25.7154,31.887096,21122,21122,125402,34795,34795,15443385344,458.0,758.45,3.9678972,505.984,514.786,,,1127297664,0.16148001,11862784,31220800,0.57383,0.21020001,31246100,184.582,2.6776717,0.15,19.22,15.5,-0.03560978,,,NSI,EQUITY,5PAISA.NS,5PAISA CAPITAL LIMITED,5paisa Capital Limited,494.25,,,,,,none,,15979458560,512.193,,1687072000,6.995,7.028,3892082944,29.297,125.028,0.03162,0.1168,,1484483968,0.137,0.048,0.99966,,0.30915
63MOONS.NS,,Software - Application,Technology,863,,,,,,86400,2,852.9,895.5,895.5,895.5,852.9,895.5,895.5,895.5,2.0,0.0034,1726790400,0.052800003,5.9,1.193,56.4628,,67864,67864,671209,888064,888064,41391534080,314.65,963.45,10.458519,597.961,435.32776,,,15698733056,0.44103,16066736,46078500,0.58090997,0.0352,46221700,726.448,1.2327104,,15.86,,0.91040003,2.0,1726790400,NSI,EQUITY,63MOONS.NS,63 MOONS TECHNOLOGIES LTD,63 moons technologies limited,895.5,,,,,,none,,12364177408,267.819,245590000,51611000,,,3957686016,0.179,85.863,,,,,,-0.663,0.51252,0.06205,-1.51999
A2ZINFRA.NS,,Engineering & Construction,Industrials,5723,,,,,,86400,2,21.14,21.0,20.8,22.19,21.14,21.0,20.8,22.19,,,1316649600,,,0.653,138.5625,,1252607,1252607,444624,976049,976049,3924888064,10.4,24.57,1.0409985,17.9224,17.3683,,,4840600576,-0.01273,108514489,176120000,0.36992002,,177036000,1.827,12.134646,,0.16,,1.0719626,2.0,1316649600,NSI,EQUITY,A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,A2Z Infra Engineering Limited,22.17,,,,,,none,,28604000,0.162,-543674752,1979510016,,,3770310912,948.741,22.058,,,,,,-0.122,0.12818,-0.1442,0.02957
AAATECH.NS,,Information Technology Services,Technology,97,,,,,,86400,2,113.56,114.56,112.03,115.18,113.56,114.56,112.03,115.18,0.5,0.0047,1725580800,0.1884,,0.181,40.876812,,16926,16926,59703,21353,21353,1447119616,79.95,160.85,6.0357256,118.0364,114.97525,,,1149805824,0.14196,3394356,12826800,0.72692,,12993400,21.795,5.1764164,0.31,2.76,,0.2605586,0.5,1725580800,NSI,EQUITY,AAATECH.NS,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,112.82,,,,,,none,,205088992,15.989,44597500,,,,239759008,,18.7,,,,,0.313,0.053,0.6931,0.18601,0.20577998
AADHARHFC.NS,,Mortgage Finance,Financial Services,3931,,,,,,86400,2,438.75,438.0,429.4,440.0,438.75,438.0,429.4,440.0,,,,,,,27.06192,16.26535,528854,528854,958324,610728,610728,188228681728,292.0,516.8,10.801166,433.937,420.201,,,315048984576,0.47839,99388879,430680000,0.76057,0.07495,430680000,137.056,3.1888425,0.153,16.15,,0.32660496,,,NSI,EQUITY,AADHARHFC.NS,AADHAR HOUSING FINANCE L,,437.05,600.0,550.0,572.0,560.0,,none,5,18294900736,42.7,,146087297024,35.121,35.655,17426700288,248.777,42.784,0.043319996,0.16816,,-22989899776,0.064,0.246,0.98120004,,0.62783
AAKASH.NS,,Oil & Gas Equipment & Services,Energy,1252,,,,,,86400,2,10.79,10.87,10.48,10.9,10.79,10.87,10.48,10.9,,,,,,0.779,1.7645108,,113624,113624,177075,222564,222564,1077300096,8.25,17.15,1.0779792,11.1092,11.7443,,,1279812480,0.06368,33216694,101250000,,,101250000,5.78,1.8408304,0.155,6.03,,0.008530855,,,NSI,EQUITY,AAKASH.NS,AAKASH EXPLORATION SER L,Aakash Exploration Services Limited,10.64,,,,,,none,,78372000,0.786,172108832,259766000,,,999369984,44.387,9.921,,,,,0.2,0.421,0.87749,0.17222,0.0627
AAREYDRUGS.NS,,Drug Manufacturers - Specialty & Generic,Healthcare,,,,,,,86400,2,59.8,59.8,59.0,59.8,59.8,59.8,59.0,59.8,,,,,,0.92,26.106195,,5939,5939,28285,10723,10723,1672903680,37.35,74.8,0.35474938,61.0514,54.864,,,1843319168,0.01102,13659921,28354300,0.51126,0.02622,28826900,47.327,1.2466457,0.71,2.26,,0.24341416,,,NSI,EQUITY,AAREYDRUGS.NS,AAREY DRUGS & PHARM LTD,Aarey Drugs & Pharmaceuticals Limited,59.0,,,,,,none,,28900924,1.03,42721344,313523072,,,4715734016,23.613,180.526,,,,,0.541,1.491,0.02987,0.00906,0.00561
AARON.NS,,Specialty Industrial Machinery,Industrials,158,,,,,,86400,2,353.1,355.0,342.05,359.85,353.1,355.0,342.05,359.85,1.0,0.0028,1726531200,0.1456,,0.45,50.732944,,16452,16452,26504,27954,27954,3660907008,242.1,375.0,5.291391,295.15,273.296,,,4026307072,0.10429,2956817,10473200,,,10638100,36.317,9.624969,0.52,6.89,,0.20182228,1.0,1726531200,NSI,EQUITY,AARON.NS,AARON INDUSTRIES LIMITED,Aaron Industries Limited,349.55,,,,,,none,,20951000,1.978,126670000,345280000,0.271,1.208,691860992,89.772,66.456,0.097720005,0.20387,-243749248,75134000,0.564,0.306,0.33990002,0.18309,0.1505
AARTECH.NS,,Electrical Equipment & Parts,Industrials,73,,,,,,86400,2,79.56,80.9,77.07,81.08,79.56,80.9,77.07,81.08,0.25,0.0042,1727049600,0.3268,,0.579,84.23913,,173279,173279,240162,219865,219865,2462205952,42.416664,87.4,7.4661393,68.8188,69.15383,,,1821903104,0.049039997,4764122,31770400,0.76819,,32697900,9.296,8.33692,0.438,0.92,,0.6970804,0.25,1727049600,NSI,EQUITY,AARTECH.NS,AARTECH SOLONICS LIMITED,Aartech Solonics Limited,77.5,,,,,,none,,113700000,3.555,-2993250,42002000,,,329783008,14.219,10.461,,,,,0.42,0.037,0.35029998,-0.00908,-0.06713
AARTIDRUGS.NS,,Drug Manufacturers - Specialty & Generic,Healthcare,1064,,,,,,86400,2,445.15,445.55,441.55,449.45,445.15,445.55,441.55,449.45,1.0,0.0022,1707177600,0.060399998,2.33,0.826,26.808577,16.442593,67197,67197,132890,118763,118763,40519319552,431.05,635.0,1.702774,475.559,500.0015,,,46128607232,0.06397,35233871,91270000,0.6184,0.09514,92793600,139.958,3.1720233,-0.116,16.56,,-0.14229137,1.0,1707177600,NSI,EQUITY,AARTIDRUGS.NS,AARTI DRUGS LTD.,Aarti Drugs Limited,443.95,555.0,555.0,555.0,555.0,,none,1,295600000,3.239,2867795968,5901000192,0.914,1.608,23796064256,46.181,259.782,0.061680004,0.12241,837400128,3081932032,-0.106,-0.067,0.33796,0.12052,0.09159
AARTIIND.NS,,Specialty Chemicals,Basic Materials,6100,,,,,,86400,2,437.2,439.6,433.3,442.6,437.2,439.6,433.3,442.6,1.0,0.0023,1721952000,0.08140001,0.37,0.719,35.671276,28.323908,860128,860128,1882714,1248170,1248170,158964711424,422.6,769.25,2.2717943,476.822,617.08026,,,193901117440,0.06366,202796389,362519008,0.42952,0.24208,362601984,150.729,2.9085312,-0.429,12.29,,-0.28001314,1.0,1721952000,NSI,EQUITY,AARTIIND.NS,AARTI INDUSTRIES LTD,Aarti Industries Limited,438.4,775.0,320.0,504.8095,450.0,3.38095,hold,21,3240000000,8.972,10508600320,38829998080,0.309,0.889,69973196800,71.339,192.789,0.041500002,0.08507,-7368462336,8858699776,-0.424,0.123,0.36303002,0.15018,0.056950003
AARTIPHARM.NS,,Drug Manufacturers - Specialty & Generic,Healthcare,2095,,,,,,86400,2,608.85,610.0,600.0,615.05,608.85,610.0,600.0,615.05,2.0,0.0033000002,1722384000,0.1192,,,23.976143,,416475,416475,182490,222730,222730,54647476224,399.55,721.7,2.7768283,628.883,589.756,,,57492066304,0.1159,44866541,90626000,0.47564998,0.18083,91733200,204.972,2.9418652,0.054,25.15,,0.21157324,1.0,1722384000,NSI,EQUITY,AARTIPHARM.NS,AARTI PHARMALABS LIMITED,Aarti Pharmalabs Limited,603.0,,,,,,none,,995131008,10.986,4033265920,3864698112,0.795,2.014,19679817728,20.815,217.207,0.07967,0.12981,-1501003392,2112627968,0.052,0.041,0.43523,0.20493999,0.15892
AARTISURF.NS,,Specialty Chemicals,Basic Materials,334,,,,,,86400,2,654.7,669.4,645.1,674.5,654.7,669.4,645.1,674.5,,,1627862400,,,1.151,36.259647,,4604,4604,23039,6137,6137,5570800640,548.15,918.0,0.95298123,704.814,678.8585,,,6910230016,0.0313,3637919,8458500,0.58871,0.00017000001,8552160,257.303,2.5563245,-0.577,18.14,,0.037378788,2.954095,1627862400,NSI,EQUITY,AARTISURF.NS,AARTI SURFACTANTS LIMITED,Aarti Surfactants Limited,657.75,,,,,,none,,63145000,7.452,568038528,992084992,,,5845656064,45.486,717.942,,,,,-0.577,-0.036,0.23754999,0.09717,0.03762
AARVEEDEN.NS,,Textile Manufacturing,Consumer Cyclical,386,,,,,,86400,2,93.75,95.62,95.62,95.62,93.75,95.62,95.62,95.62,,,1346284800,,,0.967,12.614777,,21864,21864,24531,15434,15434,2247528960,21.65,95.62,2.5512125,62.6954,40.03405,,,,-0.03907,8969461,23459800,0.75435996,0.02105,23504800,7.331,13.0432415,,7.58,,2.3375218,0.5,1346284800,NSI,EQUITY,AARVEEDEN.NS,AARVEE DEN. & EXP. LTD,Aarvee Denims and Exports Ltd.,95.62,,,,,,none,,,,-286682496,,,,880964992,,37.56,,,,,,0.305,0.08675,-0.32542,-0.88962
AARVI.NS,,Staffing & Employment Services,Industrials,,,,,,,86400,2,149.43,146.44,144.05,149.3,149.43,146.44,144.05,149.3,2.0,0.0145000005,1721952000,0.2789,2.06,0.297,20.242678,,13745,13745,46997,16274,16274,2145749760,112.95,184.25,0.5125849,142.9048,140.14955,,,2086654080,0.025409998,2843997,14784000,,,14816600,78.771,1.8425561,-0.213,7.17,,0.026086926,2.0,1721952000,NSI,EQUITY,AARVI.NS,AARVI ENCON LIMITED,Aarvi Encon Limited,145.14,,,,,,none,,214312000,14.458,117092752,256388992,1.543,2.251,4186135040,21.456,282.933,0.037720002,0.092159994,,,-0.214,0.124,0.26378,0.02797,0.026619999
AAVAS.NS,,Mortgage Finance,Financial Services,6075,,,,,,86400,2,1663.85,1663.85,1655.3,1676.2,1663.85,1663.85,1655.3,1676.2,,,,,,0.801,24.836357,18.118912,101175,101175,145984,121767,121767,132130570240,1307.0,1978.95,10.72402,1682.759,1669.6078,,,242761924608,0.43280998,57660000,79143800,0.18764,0.56623,79873904,511.572,3.2634704,0.216,67.22,75.04,0.09185445,,,NSI,EQUITY,AAVAS.NS,AAVAS FINANCIERS LIMITED,Aavas Financiers Limited,1669.5,2316.0,1487.0,1955.9445,1962.5,1.88889,buy,18,14149410816,178.799,,124793954304,236.351,236.351,12320992256,308.257,155.694,0.03341,0.14104,,-17657720832,0.215,0.133,0.9928,,0.5815
ABAN.NS,,Oil & Gas Drilling,Energy,31,,,,,,86400,2,67.13,67.1,67.1,70.0,67.13,67.1,67.1,70.0,,,1442188800,,1.13,0.782,,1.3488836,69583,69583,99432,135719,135719,3948996352,48.75,93.35,0.8187384,65.9544,67.16265,,,156588605440,-2.53409,29665518,58365300,0.48494,0.01713,58365300,-4090.086,,,-174.75,50.16,0.2369287,3.6,1442188800,NSI,EQUITY,ABAN.NS,ABAN OFFSHORE LTD.,Aban Offshore Limited,67.66,,,,,,none,,435070016,7.454,-25012500,153078743040,,,4823269888,,82.645,,,,,,0.291,0.89238,-0.00519,0.27502
